percentile,profession,publicprivate,income
3,Farmaceut,private,27000
4,Farmaceut,private,27400
5,Farmaceut,private,27600
6,Farmaceut,private,28000
7,Farmaceut,private,28100
8,Farmaceut,private,28440
9,Farmaceut,private,28561
10,Farmaceut,private,28800
11,Farmaceut,private,29000
12,Farmaceut,private,29000
13,Farmaceut,private,29150
14,Farmaceut,private,29387
15,Farmaceut,private,29600
16,Farmaceut,private,29750
17,Farmaceut,private,29950
18,Farmaceut,private,30000
19,Farmaceut,private,30051
20,Farmaceut,private,30200
21,Farmaceut,private,30300
22,Farmaceut,private,30500
23,Farmaceut,private,30600
24,Farmaceut,private,30773
25,Farmaceut,private,30920
26,Farmaceut,private,31000
27,Farmaceut,private,31000
28,Farmaceut,private,31151
29,Farmaceut,private,31400
30,Farmaceut,private,31500
31,Farmaceut,private,31600
32,Farmaceut,private,31793
33,Farmaceut,private,32000
34,Farmaceut,private,32000
35,Farmaceut,private,32000
36,Farmaceut,private,32200
37,Farmaceut,private,32309
38,Farmaceut,private,32500
39,Farmaceut,private,32600
40,Farmaceut,private,32750
41,Farmaceut,private,32930
42,Farmaceut,private,33000
43,Farmaceut,private,33000
44,Farmaceut,private,33067
45,Farmaceut,private,33300
46,Farmaceut,private,33500
47,Farmaceut,private,33600
48,Farmaceut,private,33759
49,Farmaceut,private,34000
50,Farmaceut,private,34000
51,Farmaceut,private,34100
52,Farmaceut,private,34150
53,Farmaceut,private,34400
54,Farmaceut,private,34600
55,Farmaceut,private,34800
56,Farmaceut,private,35000
57,Farmaceut,private,35135
58,Farmaceut,private,35307
59,Farmaceut,private,35500
60,Farmaceut,private,35733
61,Farmaceut,private,35909
62,Farmaceut,private,36100
63,Farmaceut,private,36375
64,Farmaceut,private,36800
65,Farmaceut,private,37000
66,Farmaceut,private,37469
67,Farmaceut,private,37861
68,Farmaceut,private,38150
69,Farmaceut,private,38450
70,Farmaceut,private,38700
71,Farmaceut,private,39189
72,Farmaceut,private,39744
73,Farmaceut,private,40000
74,Farmaceut,private,40500
75,Farmaceut,private,41000
76,Farmaceut,private,41440
77,Farmaceut,private,41892
78,Farmaceut,private,42400
79,Farmaceut,private,43000
80,Farmaceut,private,43905
81,Farmaceut,private,44500
82,Farmaceut,private,45000
83,Farmaceut,private,45500
84,Farmaceut,private,46000
85,Farmaceut,private,46600
86,Farmaceut,private,48000
87,Farmaceut,private,48600
88,Farmaceut,private,50000
89,Farmaceut,private,51200
90,Farmaceut,private,52800
91,Farmaceut,private,54600
92,Farmaceut,private,56104
93,Farmaceut,private,60000
94,Farmaceut,private,63050
95,Farmaceut,private,67000
96,Farmaceut,private,70304
97,Farmaceut,private,76000
