percentile,profession,publicprivate,income
3,Högskoleingenjör,private,26500
4,Högskoleingenjör,private,27000
5,Högskoleingenjör,private,27500
6,Högskoleingenjör,private,28000
7,Högskoleingenjör,private,28150
8,Högskoleingenjör,private,28500
9,Högskoleingenjör,private,28850
10,Högskoleingenjör,private,29000
11,Högskoleingenjör,private,29350
12,Högskoleingenjör,private,29650
13,Högskoleingenjör,private,30000
14,Högskoleingenjör,private,30000
15,Högskoleingenjör,private,30300
16,Högskoleingenjör,private,30500
17,Högskoleingenjör,private,30900
18,Högskoleingenjör,private,31000
19,Högskoleingenjör,private,31320
20,Högskoleingenjör,private,31600
21,Högskoleingenjör,private,32000
22,Högskoleingenjör,private,32000
23,Högskoleingenjör,private,32300
24,Högskoleingenjör,private,32500
25,Högskoleingenjör,private,32800
26,Högskoleingenjör,private,33000
27,Högskoleingenjör,private,33100
28,Högskoleingenjör,private,33409
29,Högskoleingenjör,private,33600
30,Högskoleingenjör,private,33900
31,Högskoleingenjör,private,34000
32,Högskoleingenjör,private,34300
33,Högskoleingenjör,private,34500
34,Högskoleingenjör,private,34739
35,Högskoleingenjör,private,35000
36,Högskoleingenjör,private,35000
37,Högskoleingenjör,private,35200
38,Högskoleingenjör,private,35500
39,Högskoleingenjör,private,35650
40,Högskoleingenjör,private,35933
41,Högskoleingenjör,private,36000
42,Högskoleingenjör,private,36200
43,Högskoleingenjör,private,36479
44,Högskoleingenjör,private,36650
45,Högskoleingenjör,private,36950
46,Högskoleingenjör,private,37000
47,Högskoleingenjör,private,37300
48,Högskoleingenjör,private,37500
49,Högskoleingenjör,private,37800
50,Högskoleingenjör,private,38000
51,Högskoleingenjör,private,38100
52,Högskoleingenjör,private,38400
53,Högskoleingenjör,private,38561
54,Högskoleingenjör,private,38862
55,Högskoleingenjör,private,39000
56,Högskoleingenjör,private,39300
57,Högskoleingenjör,private,39500
58,Högskoleingenjör,private,39800
59,Högskoleingenjör,private,40000
60,Högskoleingenjör,private,40000
61,Högskoleingenjör,private,40300
62,Högskoleingenjör,private,40586
63,Högskoleingenjör,private,40900
64,Högskoleingenjör,private,41000
65,Högskoleingenjör,private,41300
66,Högskoleingenjör,private,41550
67,Högskoleingenjör,private,41839
68,Högskoleingenjör,private,42000
69,Högskoleingenjör,private,42250
70,Högskoleingenjör,private,42500
71,Högskoleingenjör,private,42889
72,Högskoleingenjör,private,43004
73,Högskoleingenjör,private,43500
74,Högskoleingenjör,private,43840
75,Högskoleingenjör,private,44100
76,Högskoleingenjör,private,44503
77,Högskoleingenjör,private,45000
78,Högskoleingenjör,private,45011
79,Högskoleingenjör,private,45500
80,Högskoleingenjör,private,46000
81,Högskoleingenjör,private,46450
82,Högskoleingenjör,private,47000
83,Högskoleingenjör,private,47300
84,Högskoleingenjör,private,47900
85,Högskoleingenjör,private,48300
86,Högskoleingenjör,private,49000
87,Högskoleingenjör,private,49792
88,Högskoleingenjör,private,50168
89,Högskoleingenjör,private,51000
90,Högskoleingenjör,private,52000
91,Högskoleingenjör,private,53000
92,Högskoleingenjör,private,53856
93,Högskoleingenjör,private,55000
94,Högskoleingenjör,private,56300
95,Högskoleingenjör,private,58000
96,Högskoleingenjör,private,60157
97,Högskoleingenjör,private,62750
