profession,publicprivate,value,income
Arbetsterapeut,public,0.00427112349118,-24999
Arbetsterapeut,public,0.0170844939647,25000-25999
Arbetsterapeut,public,0.0332404828227,26000-26999
Arbetsterapeut,public,0.0492107706592,27000-27999
Arbetsterapeut,public,0.0683379758589,28000-28999
Arbetsterapeut,public,0.0859795728877,29000-29999
Arbetsterapeut,public,0.116805942433,30000-30999
Arbetsterapeut,public,0.108449396472,31000-31999
Arbetsterapeut,public,0.118477251625,32000-32999
Arbetsterapeut,public,0.105849582173,33000-33999
Arbetsterapeut,public,0.0833797585887,34000-34999
Arbetsterapeut,public,0.057938718663,35000-35999
Arbetsterapeut,public,0.0356545961003,36000-36999
Arbetsterapeut,public,0.0213556174559,37000-37999
Arbetsterapeut,public,0.0161559888579,38000-38999
Arbetsterapeut,public,0.00891364902507,39000-39999
Arbetsterapeut,public,0.0100278551532,40000-40999
Arbetsterapeut,public,0.00779944289694,41000-41999
Arbetsterapeut,public,0.00798514391829,42000-42999
Arbetsterapeut,public,0.00891364902507,43000-43999
Arbetsterapeut,public,0.00445682451253,44000-44999
Arbetsterapeut,public,0.00352831940576,45000-45999
Arbetsterapeut,public,0.00482822655525,46000-46999
Arbetsterapeut,public,0.00241411327762,47000-47999
Arbetsterapeut,public,0.00222841225627,48000-48999
Arbetsterapeut,public,0.00129990714949,49000-49999
Arbetsterapeut,public,0.0154131847725,50000-
