profession,publicprivate,value,income
samhällsvetare,private,0.0298,-26999
samhällsvetare,private,0.0159465020576,27000-27999
samhällsvetare,private,0.0159465020576,28000-28999
samhällsvetare,private,0.0185185185185,29000-29999
samhällsvetare,private,0.0267489711934,30000-30999
samhällsvetare,private,0.0246913580247,31000-31999
samhällsvetare,private,0.0288065843621,32000-32999
samhällsvetare,private,0.0298353909465,33000-33999
samhällsvetare,private,0.0329218106996,34000-34999
samhällsvetare,private,0.0329218106996,35000-35999
samhällsvetare,private,0.0380658436214,36000-36999
samhällsvetare,private,0.0231481481481,37000-37999
samhällsvetare,private,0.0308641975309,38000-38999
samhällsvetare,private,0.0288065843621,39000-39999
samhällsvetare,private,0.0442386831276,40000-40999
samhällsvetare,private,0.0267489711934,41000-41999
samhällsvetare,private,0.0262345679012,42000-42999
samhällsvetare,private,0.0298353909465,43000-43999
samhällsvetare,private,0.0334362139918,44000-44999
samhällsvetare,private,0.0200617283951,45000-45999
samhällsvetare,private,0.0210905349794,46000-46999
samhällsvetare,private,0.0324074074074,47000-47999
samhällsvetare,private,0.0246913580247,48000-48999
samhällsvetare,private,0.0210905349794,49000-49999
samhällsvetare,private,0.0303497942387,50000-50999
samhällsvetare,private,0.0200617283951,51000-51999
samhällsvetare,private,0.0185185185185,52000-52999
samhällsvetare,private,0.0128600823045,53000-53999
samhällsvetare,private,0.0195473251029,54000-54999
samhällsvetare,private,0.0154320987654,55000-55999
samhällsvetare,private,0.0159465020576,56000-56999
samhällsvetare,private,0.0108024691358,57000-57999
samhällsvetare,private,0.0144032921811,58000-58999
samhällsvetare,private,0.00925925925926,59000-59999
samhällsvetare,private,0.0154320987654,60000-60999
samhällsvetare,private,0.0108024691358,61000-61999
samhällsvetare,private,0.011316872428,62000-62999
samhällsvetare,private,0.00771604938272,63000-63999
samhällsvetare,private,0.00565843621399,64000-64999
samhällsvetare,private,0.00925925925926,65000-65999
samhällsvetare,private,0.00462962962963,66000-66999
samhällsvetare,private,0.00462962962963,67000-67999
samhällsvetare,private,0.00565843621399,68000-68999
samhällsvetare,private,0.00720164609053,69000-69999
samhällsvetare,private,0.011316872428,70000-70999
samhällsvetare,private,0.00514403292181,71000-71999
samhällsvetare,private,0.00720164609053,72000-72999
samhällsvetare,private,0.00308641975309,73000-73999
samhällsvetare,private,0.00154320987654,74000-74999
samhällsvetare,private,0.00668724279835,75000-75999
samhällsvetare,private,0.00154320987654,76000-76999
samhällsvetare,private,0.00308641975309,77000-77999
samhällsvetare,private,0.00360082304527,78000-78999
samhällsvetare,private,0.00205761316872,79000-79999
samhällsvetare,private,0.00360082304527,80000-80999
samhällsvetare,private,0.00154320987654,81000-81999
samhällsvetare,private,0.00257201646091,82000-82999
samhällsvetare,private,0.00154320987654,83000-83999
samhällsvetare,private,0.00205761316872,84000-84999
samhällsvetare,private,0.00257201646091,85000-85999
samhällsvetare,private,0.00102880658436,86000-86999
samhällsvetare,private,0.00257201646091,87000-87999
samhällsvetare,private,0.00154320987654,88000-88999
samhällsvetare,private,0.00205761316872,89000-89999
samhällsvetare,private,0.0272633744856,90000-
