profession,publicprivate,value,income
ekonom,public,0.0124,-26999
ekonom,public,0.0115740740741,27000-27999
ekonom,public,0.0185185185185,28000-28999
ekonom,public,0.0172558922559,29000-29999
ekonom,public,0.0252525252525,30000-30999
ekonom,public,0.0246212121212,31000-31999
ekonom,public,0.0225168350168,32000-32999
ekonom,public,0.0292508417508,33000-33999
ekonom,public,0.0294612794613,34000-34999
ekonom,public,0.0357744107744,35000-35999
ekonom,public,0.0410353535354,36000-36999
ekonom,public,0.035563973064,37000-37999
ekonom,public,0.042297979798,38000-38999
ekonom,public,0.0368265993266,39000-39999
ekonom,public,0.0502946127946,40000-40999
ekonom,public,0.0425084175084,41000-41999
ekonom,public,0.0444023569024,42000-42999
ekonom,public,0.0372474747475,43000-43999
ekonom,public,0.0372474747475,44000-44999
ekonom,public,0.0420875420875,45000-45999
ekonom,public,0.035563973064,46000-46999
ekonom,public,0.0260942760943,47000-47999
ekonom,public,0.0250420875421,48000-48999
ekonom,public,0.0204124579125,49000-49999
ekonom,public,0.0260942760943,50000-50999
ekonom,public,0.0206228956229,51000-51999
ekonom,public,0.0183080808081,52000-52999
ekonom,public,0.0159932659933,53000-53999
ekonom,public,0.015361952862,54000-54999
ekonom,public,0.0162037037037,55000-55999
ekonom,public,0.0122053872054,56000-56999
ekonom,public,0.0109427609428,57000-57999
ekonom,public,0.0109427609428,58000-58999
ekonom,public,0.00610269360269,59000-59999
ekonom,public,0.010101010101,60000-60999
ekonom,public,0.0077861952862,61000-61999
ekonom,public,0.00526094276094,62000-62999
ekonom,public,0.00694444444444,63000-63999
ekonom,public,0.00799663299663,64000-64999
ekonom,public,0.00610269360269,65000-65999
ekonom,public,0.00589225589226,66000-66999
ekonom,public,0.00399831649832,67000-67999
ekonom,public,0.00420875420875,68000-68999
ekonom,public,0.00231481481481,69000-69999
ekonom,public,0.003367003367,70000-70999
ekonom,public,0.00273569023569,71000-71999
ekonom,public,0.00147306397306,72000-72999
ekonom,public,0.00273569023569,73000-73999
ekonom,public,0.00231481481481,74000-74999
ekonom,public,0.00378787878788,75000-75999
ekonom,public,0.00105218855219,76000-76999
ekonom,public,0.00189393939394,77000-77999
ekonom,public,0.00210437710438,78000-78999
ekonom,public,0.000631313131313,79000-79999
ekonom,public,0.0212542087542,80000-
