profession,publicprivate,value,income
Tandhygienist,private,0.00490998363339,-24999
Tandhygienist,private,0.00818330605565,25000-25999
Tandhygienist,private,0.0163666121113,26000-26999
Tandhygienist,private,0.0196399345336,27000-27999
Tandhygienist,private,0.0310965630115,28000-28999
Tandhygienist,private,0.0294599018003,29000-29999
Tandhygienist,private,0.0540098199673,30000-30999
Tandhygienist,private,0.063829787234,31000-31999
Tandhygienist,private,0.0900163666121,32000-32999
Tandhygienist,private,0.0769230769231,33000-33999
Tandhygienist,private,0.103109656301,34000-34999
Tandhygienist,private,0.155482815057,35000-35999
Tandhygienist,private,0.0851063829787,36000-36999
Tandhygienist,private,0.0523731587561,37000-37999
Tandhygienist,private,0.0589198036007,38000-38999
Tandhygienist,private,0.037643207856,39000-39999
Tandhygienist,private,0.0327332242226,40000-40999
Tandhygienist,private,0.0147299509002,41000-41999
Tandhygienist,private,0.0163666121113,42000-42999
Tandhygienist,private,0.00654664484452,43000-43999
Tandhygienist,private,0.00818330605565,44000-44999
Tandhygienist,private,0.00490998363339,45000-45999
Tandhygienist,private,0.00327332242226,46000-46999
Tandhygienist,private,0.00163666121113,47000-47999
Tandhygienist,private,0.00327332242226,48000-48999
Tandhygienist,private,0.0212765957447,50000-
Tandhygienist,private,0.0,49000-49999
