profession,publicprivate,value,income
Arkitekt,private,0.00236616385685,25000-25999
Arkitekt,private,0.00147885241053,26000-26999
Arkitekt,private,0.000591540964212,27000-27999
Arkitekt,private,0.00295770482106,28000-28999
Arkitekt,private,0.00354924578527,29000-29999
Arkitekt,private,0.00916888494528,30000-30999
Arkitekt,private,0.0357882283348,31000-31999
Arkitekt,private,0.0408163265306,32000-32999
Arkitekt,private,0.0467317361727,33000-33999
Arkitekt,private,0.0473232771369,34000-34999
Arkitekt,private,0.0532386867791,35000-35999
Arkitekt,private,0.0479148181012,36000-36999
Arkitekt,private,0.041999408459,37000-37999
Arkitekt,private,0.0387459331559,38000-38999
Arkitekt,private,0.0402247855664,39000-39999
Arkitekt,private,0.0437740313517,40000-40999
Arkitekt,private,0.0393374741201,41000-41999
Arkitekt,private,0.0331262939959,42000-42999
Arkitekt,private,0.0417036379769,43000-43999
Arkitekt,private,0.0399290150843,44000-44999
Arkitekt,private,0.0354924578527,45000-45999
Arkitekt,private,0.0393374741201,46000-46999
Arkitekt,private,0.0304643596569,47000-47999
Arkitekt,private,0.0319432120674,48000-48999
Arkitekt,private,0.027802425318,49000-49999
Arkitekt,private,0.0286897367643,50000-50999
Arkitekt,private,0.0180419994085,51000-51999
Arkitekt,private,0.0189293108548,52000-52999
Arkitekt,private,0.0192250813369,53000-53999
Arkitekt,private,0.0174504584442,54000-54999
Arkitekt,private,0.0189293108548,55000-55999
Arkitekt,private,0.0156758355516,56000-56999
Arkitekt,private,0.0115350488021,57000-57999
Arkitekt,private,0.00887311446318,58000-58999
Arkitekt,private,0.0050280981958,59000-59999
Arkitekt,private,0.00916888494528,60000-60999
Arkitekt,private,0.00384501626738,61000-61999
Arkitekt,private,0.0050280981958,62000-62999
Arkitekt,private,0.00414078674948,63000-63999
Arkitekt,private,0.00354924578527,64000-64999
Arkitekt,private,0.00384501626738,65000-65999
Arkitekt,private,0.00384501626738,66000-66999
Arkitekt,private,0.00354924578527,67000-67999
Arkitekt,private,0.000887311446318,68000-68999
Arkitekt,private,0.00266193433895,69000-69999
Arkitekt,private,0.0212954747116,70000-
