profession,publicprivate,value,income
högskoleingenjör,private,0.0045,-26999
högskoleingenjör,private,0.00486174415071,27000-27999
högskoleingenjör,private,0.0112427833485,28000-28999
högskoleingenjör,private,0.0154968094804,29000-29999
högskoleingenjör,private,0.0238529322394,30000-30999
högskoleingenjör,private,0.0231692494682,31000-31999
högskoleingenjör,private,0.0318292312367,32000-32999
högskoleingenjör,private,0.0285627468854,33000-33999
högskoleingenjör,private,0.032740808265,34000-34999
högskoleingenjör,private,0.0370707991492,35000-35999
högskoleingenjör,private,0.0378304466727,36000-36999
högskoleingenjör,private,0.0362351868733,37000-37999
högskoleingenjör,private,0.041096931024,38000-38999
högskoleingenjör,private,0.0391218474628,39000-39999
högskoleingenjör,private,0.0479337587359,40000-40999
högskoleingenjör,private,0.0408690367669,41000-41999
högskoleingenjör,private,0.0433758735947,42000-42999
högskoleingenjör,private,0.0391978122151,43000-43999
högskoleingenjör,private,0.0379064114251,44000-44999
högskoleingenjör,private,0.0414007900334,45000-45999
högskoleingenjör,private,0.0357793983592,46000-46999
högskoleingenjör,private,0.0335764205409,47000-47999
högskoleingenjör,private,0.0292464296566,48000-48999
högskoleingenjör,private,0.0237769674871,49000-49999
högskoleingenjör,private,0.0279550288666,50000-50999
högskoleingenjör,private,0.0224855666971,51000-51999
högskoleingenjör,private,0.0202825888788,52000-52999
högskoleingenjör,private,0.0178517168034,53000-53999
högskoleingenjör,private,0.015420844728,54000-54999
högskoleingenjör,private,0.015192950471,55000-55999
högskoleingenjör,private,0.0140534791857,56000-56999
högskoleingenjör,private,0.0107869948344,57000-57999
högskoleingenjör,private,0.0111668185962,58000-58999
högskoleingenjör,private,0.00964752354907,59000-59999
högskoleingenjör,private,0.0110908538438,60000-60999
högskoleingenjör,private,0.00668489820723,61000-61999
högskoleingenjör,private,0.00676086295959,62000-62999
högskoleingenjör,private,0.00516560316013,63000-63999
högskoleingenjör,private,0.00455788514129,64000-64999
högskoleingenjör,private,0.00562139167426,65000-65999
högskoleingenjör,private,0.00493770890307,66000-66999
högskoleingenjör,private,0.00364630811304,67000-67999
högskoleingenjör,private,0.00425402613187,68000-68999
högskoleingenjör,private,0.00273473108478,69000-69999
högskoleingenjör,private,0.004709814646,70000-70999
högskoleingenjör,private,0.00296262534184,71000-71999
högskoleingenjör,private,0.0030385900942,72000-72999
högskoleingenjör,private,0.00189911880887,73000-73999
högskoleingenjör,private,0.00174718930416,74000-74999
högskoleingenjör,private,0.0246885445153,75000-
