profession,publicprivate,value,income
Socionom,private,0.00922818791946,-24999
Socionom,private,0.00419463087248,25000-25999
Socionom,private,0.00671140939597,26000-26999
Socionom,private,0.0125838926174,27000-27999
Socionom,private,0.0134228187919,28000-28999
Socionom,private,0.0251677852349,29000-29999
Socionom,private,0.0360738255034,30000-30999
Socionom,private,0.0335570469799,31000-31999
Socionom,private,0.0427852348993,32000-32999
Socionom,private,0.0595637583893,33000-33999
Socionom,private,0.0570469798658,34000-34999
Socionom,private,0.0687919463087,35000-35999
Socionom,private,0.0545302013423,36000-36999
Socionom,private,0.0629194630872,37000-37999
Socionom,private,0.0520134228188,38000-38999
Socionom,private,0.0545302013423,39000-39999
Socionom,private,0.0478187919463,40000-40999
Socionom,private,0.0318791946309,41000-41999
Socionom,private,0.0394295302013,42000-42999
Socionom,private,0.0327181208054,43000-43999
Socionom,private,0.0260067114094,44000-44999
Socionom,private,0.0285234899329,45000-45999
Socionom,private,0.0276845637584,46000-46999
Socionom,private,0.0159395973154,47000-47999
Socionom,private,0.0184563758389,48000-48999
Socionom,private,0.010067114094,49000-49999
Socionom,private,0.0192953020134,50000-50999
Socionom,private,0.00755033557047,51000-51999
Socionom,private,0.011744966443,52000-52999
Socionom,private,0.00922818791946,53000-53999
Socionom,private,0.00419463087248,54000-54999
Socionom,private,0.00503355704698,55000-55999
Socionom,private,0.00755033557047,56000-56999
Socionom,private,0.00922818791946,57000-57999
Socionom,private,0.00838926174497,58000-58999
Socionom,private,0.00503355704698,59000-59999
Socionom,private,0.00671140939597,60000-60999
Socionom,private,0.00251677852349,61000-61999
Socionom,private,0.00335570469799,62000-62999
Socionom,private,0.00251677852349,63000-63999
Socionom,private,0.000838926174497,64000-64999
Socionom,private,0.0251677852349,65000-
