"Utbildning","Arbsektor","COUNT","Andel","Lön"
"Agronom","Privat",5,0.954198473282443,"< 25000"
"Agronom","Privat",1,0.190839694656489,"25000-25999"
"Agronom","Privat",2,0.381679389312977,"26000-26999"
"Agronom","Privat",5,0.954198473282443,"27000-27999"
"Agronom","Privat",11,2.09923664122137,"28000-28999"
"Agronom","Privat",8,1.52671755725191,"29000-29999"
"Agronom","Privat",18,3.43511450381679,"30000-30999"
"Agronom","Privat",17,3.24427480916031,"31000-31999"
"Agronom","Privat",19,3.62595419847328,"32000-32999"
"Agronom","Privat",13,2.48091603053435,"33000-33999"
"Agronom","Privat",18,3.43511450381679,"34000-34999"
"Agronom","Privat",23,4.38931297709924,"35000-35999"
"Agronom","Privat",21,4.00763358778626,"36000-36999"
"Agronom","Privat",11,2.09923664122137,"37000-37999"
"Agronom","Privat",24,4.58015267175573,"38000-38999"
"Agronom","Privat",21,4.00763358778626,"39000-39999"
"Agronom","Privat",27,5.15267175572519,"40000-40999"
"Agronom","Privat",16,3.05343511450382,"41000-41999"
"Agronom","Privat",23,4.38931297709924,"42000-42999"
"Agronom","Privat",20,3.81679389312977,"43000-43999"
"Agronom","Privat",18,3.43511450381679,"44000-44999"
"Agronom","Privat",15,2.86259541984733,"45000-45999"
"Agronom","Privat",17,3.24427480916031,"46000-46999"
"Agronom","Privat",14,2.67175572519084,"47000-47999"
"Agronom","Privat",12,2.29007633587786,"48000-48999"
"Agronom","Privat",12,2.29007633587786,"49000-49999"
"Agronom","Privat",7,1.33587786259542,"50000-50999"
"Agronom","Privat",9,1.7175572519084,"51000-51999"
"Agronom","Privat",10,1.90839694656489,"52000-52999"
"Agronom","Privat",2,0.381679389312977,"53000-53999"
"Agronom","Privat",6,1.14503816793893,"54000-54999"
"Agronom","Privat",10,1.90839694656489,"55000-55999"
"Agronom","Privat",12,2.29007633587786,"56000-56999"
"Agronom","Privat",9,1.7175572519084,"57000-57999"
"Agronom","Privat",4,0.763358778625954,"58000-58999"
"Agronom","Privat",3,0.572519083969466,"59000-59999"
"Agronom","Privat",5,0.954198473282443,"60000-60999"
"Agronom","Privat",5,0.954198473282443,"61000-61999"
"Agronom","Privat",2,0.381679389312977,"62000-62999"
"Agronom","Privat",5,0.954198473282443,"63000-63999"
"Agronom","Privat",2,0.381679389312977,"64000-64999"
"Agronom","Privat",3,0.572519083969466,"65000-65999"
"Agronom","Privat",2,0.381679389312977,"66000-66999"
"Agronom","Privat",2,0.381679389312977,"67000-67999"
"Agronom","Privat",1,0.190839694656489,"68000-68999"
"Agronom","Privat",2,0.381679389312977,"69000-69999"
"Agronom","Privat",1,0.190839694656489,"72000-72999"
"Agronom","Privat",1,0.190839694656489,"73000-73999"
"Agronom","Privat",2,0.381679389312977,"74000-74999"
"Agronom","Privat",1,0.190839694656489,"75000-75999"
"Agronom","Privat",1,0.190839694656489,"76000-76999"
"Agronom","Privat",1,0.190839694656489,"77000-77999"
"Agronom","Privat",2,0.381679389312977,"79000-79999"
"Agronom","Privat",1,0.190839694656489,"80000-80999"
"Agronom","Privat",1,0.190839694656489,"85000-85999"
"Agronom","Privat",2,0.381679389312977,"86000-86999"
"Agronom","Privat",2,0.381679389312977,"88000-88999"
"Agronom","Privat",1,0.190839694656489,"90000-90999"
"Agronom","Privat",1,0.190839694656489,"92000-92999"
"Agronom","Privat",1,0.190839694656489,"94000-94999"
"Agronom","Privat",14,2.67175572519084,">=95000"
"Agronom","Offentlig",2,0.33955857385399,"< 25000"
"Agronom","Offentlig",1,0.169779286926995,"25000-25999"
"Agronom","Offentlig",7,1.18845500848896,"26000-26999"
"Agronom","Offentlig",12,2.03735144312394,"27000-27999"
"Agronom","Offentlig",11,1.86757215619694,"28000-28999"
"Agronom","Offentlig",20,3.3955857385399,"29000-29999"
"Agronom","Offentlig",19,3.2258064516129,"30000-30999"
"Agronom","Offentlig",23,3.90492359932088,"31000-31999"
"Agronom","Offentlig",29,4.92359932088285,"32000-32999"
"Agronom","Offentlig",41,6.96095076400679,"33000-33999"
"Agronom","Offentlig",42,7.13073005093379,"34000-34999"
"Agronom","Offentlig",26,4.41426146010187,"35000-35999"
"Agronom","Offentlig",28,4.75382003395586,"36000-36999"
"Agronom","Offentlig",29,4.92359932088285,"37000-37999"
"Agronom","Offentlig",30,5.09337860780985,"38000-38999"
"Agronom","Offentlig",29,4.92359932088285,"39000-39999"
"Agronom","Offentlig",29,4.92359932088285,"40000-40999"
"Agronom","Offentlig",30,5.09337860780985,"41000-41999"
"Agronom","Offentlig",15,2.54668930390492,"42000-42999"
"Agronom","Offentlig",18,3.05602716468591,"43000-43999"
"Agronom","Offentlig",20,3.3955857385399,"44000-44999"
"Agronom","Offentlig",19,3.2258064516129,"45000-45999"
"Agronom","Offentlig",14,2.37691001697793,"46000-46999"
"Agronom","Offentlig",6,1.01867572156197,"47000-47999"
"Agronom","Offentlig",16,2.71646859083192,"48000-48999"
"Agronom","Offentlig",6,1.01867572156197,"49000-49999"
"Agronom","Offentlig",7,1.18845500848896,"50000-50999"
"Agronom","Offentlig",8,1.35823429541596,"51000-51999"
"Agronom","Offentlig",3,0.509337860780985,"52000-52999"
"Agronom","Offentlig",6,1.01867572156197,"53000-53999"
"Agronom","Offentlig",2,0.33955857385399,"54000-54999"
"Agronom","Offentlig",1,0.169779286926995,"55000-55999"
"Agronom","Offentlig",11,1.86757215619694,"56000-56999"
"Agronom","Offentlig",7,1.18845500848896,"57000-57999"
"Agronom","Offentlig",2,0.33955857385399,"58000-58999"
"Agronom","Offentlig",2,0.33955857385399,"59000-59999"
"Agronom","Offentlig",1,0.169779286926995,"60000-60999"
"Agronom","Offentlig",2,0.33955857385399,"61000-61999"
"Agronom","Offentlig",1,0.169779286926995,"62000-62999"
"Agronom","Offentlig",3,0.509337860780985,"63000-63999"
"Agronom","Offentlig",1,0.169779286926995,"64000-64999"
"Agronom","Offentlig",10,1.69779286926995,">=65000"
"Arkitekt","Privat",8,0.236616385684709,"25000-25999"
"Arkitekt","Privat",5,0.147885241052943,"26000-26999"
"Arkitekt","Privat",2,0.059154096421177,"27000-27999"
"Arkitekt","Privat",10,0.295770482105886,"28000-28999"
"Arkitekt","Privat",12,0.354924578527063,"29000-29999"
"Arkitekt","Privat",31,0.916888494528246,"30000-30999"
"Arkitekt","Privat",121,3.57882283348122,"31000-31999"
"Arkitekt","Privat",138,4.08163265306122,"32000-32999"
"Arkitekt","Privat",158,4.673173617273,"33000-33999"
"Arkitekt","Privat",160,4.73232771369417,"34000-34999"
"Arkitekt","Privat",180,5.32386867790595,"35000-35999"
"Arkitekt","Privat",162,4.79148181011535,"36000-36999"
"Arkitekt","Privat",142,4.19994084590358,"37000-37999"
"Arkitekt","Privat",131,3.8745933155871,"38000-38999"
"Arkitekt","Privat",136,4.02247855664005,"39000-39999"
"Arkitekt","Privat",148,4.37740313516711,"40000-40999"
"Arkitekt","Privat",133,3.93374741200828,"41000-41999"
"Arkitekt","Privat",112,3.31262939958592,"42000-42999"
"Arkitekt","Privat",141,4.17036379769299,"43000-43999"
"Arkitekt","Privat",135,3.99290150842946,"44000-44999"
"Arkitekt","Privat",120,3.54924578527063,"45000-45999"
"Arkitekt","Privat",133,3.93374741200828,"46000-46999"
"Arkitekt","Privat",103,3.04643596569062,"47000-47999"
"Arkitekt","Privat",108,3.19432120674357,"48000-48999"
"Arkitekt","Privat",94,2.78024253179533,"49000-49999"
"Arkitekt","Privat",97,2.86897367642709,"50000-50999"
"Arkitekt","Privat",61,1.8041999408459,"51000-51999"
"Arkitekt","Privat",64,1.89293108547767,"52000-52999"
"Arkitekt","Privat",65,1.92250813368826,"53000-53999"
"Arkitekt","Privat",59,1.74504584442473,"54000-54999"
"Arkitekt","Privat",64,1.89293108547767,"55000-55999"
"Arkitekt","Privat",53,1.5675835551612,"56000-56999"
"Arkitekt","Privat",39,1.15350488021295,"57000-57999"
"Arkitekt","Privat",30,0.887311446317657,"58000-58999"
"Arkitekt","Privat",17,0.502809819580006,"59000-59999"
"Arkitekt","Privat",31,0.916888494528246,"60000-60999"
"Arkitekt","Privat",13,0.384501626737652,"61000-61999"
"Arkitekt","Privat",17,0.502809819580006,"62000-62999"
"Arkitekt","Privat",14,0.41407867494824,"63000-63999"
"Arkitekt","Privat",12,0.354924578527063,"64000-64999"
"Arkitekt","Privat",13,0.384501626737652,"65000-65999"
"Arkitekt","Privat",13,0.384501626737652,"66000-66999"
"Arkitekt","Privat",12,0.354924578527063,"67000-67999"
"Arkitekt","Privat",3,0.088731144631766,"68000-68999"
"Arkitekt","Privat",9,0.266193433895297,"69000-69999"
"Arkitekt","Privat",72,2.12954747116238,">=70000"
"Arkitekt","Offentlig",3,0.207612456747405,"25000-25999"
"Arkitekt","Offentlig",2,0.13840830449827,"26000-26999"
"Arkitekt","Offentlig",2,0.13840830449827,"27000-27999"
"Arkitekt","Offentlig",3,0.207612456747405,"28000-28999"
"Arkitekt","Offentlig",3,0.207612456747405,"29000-29999"
"Arkitekt","Offentlig",9,0.622837370242215,"30000-30999"
"Arkitekt","Offentlig",18,1.24567474048443,"31000-31999"
"Arkitekt","Offentlig",29,2.00692041522491,"32000-32999"
"Arkitekt","Offentlig",52,3.59861591695502,"33000-33999"
"Arkitekt","Offentlig",54,3.73702422145329,"34000-34999"
"Arkitekt","Offentlig",54,3.73702422145329,"35000-35999"
"Arkitekt","Offentlig",61,4.22145328719723,"36000-36999"
"Arkitekt","Offentlig",65,4.49826989619377,"37000-37999"
"Arkitekt","Offentlig",69,4.77508650519031,"38000-38999"
"Arkitekt","Offentlig",81,5.60553633217993,"39000-39999"
"Arkitekt","Offentlig",81,5.60553633217993,"40000-40999"
"Arkitekt","Offentlig",69,4.77508650519031,"41000-41999"
"Arkitekt","Offentlig",71,4.91349480968858,"42000-42999"
"Arkitekt","Offentlig",81,5.60553633217993,"43000-43999"
"Arkitekt","Offentlig",52,3.59861591695502,"44000-44999"
"Arkitekt","Offentlig",69,4.77508650519031,"45000-45999"
"Arkitekt","Offentlig",55,3.80622837370242,"46000-46999"
"Arkitekt","Offentlig",49,3.39100346020761,"47000-47999"
"Arkitekt","Offentlig",39,2.69896193771626,"48000-48999"
"Arkitekt","Offentlig",36,2.49134948096886,"49000-49999"
"Arkitekt","Offentlig",39,2.69896193771626,"50000-50999"
"Arkitekt","Offentlig",34,2.35294117647059,"51000-51999"
"Arkitekt","Offentlig",22,1.52249134948097,"52000-52999"
"Arkitekt","Offentlig",34,2.35294117647059,"53000-53999"
"Arkitekt","Offentlig",21,1.45328719723183,"54000-54999"
"Arkitekt","Offentlig",20,1.3840830449827,"55000-55999"
"Arkitekt","Offentlig",17,1.17647058823529,"56000-56999"
"Arkitekt","Offentlig",15,1.03806228373702,"57000-57999"
"Arkitekt","Offentlig",14,0.968858131487889,"58000-58999"
